Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
25,770,28,May 1,CHC,@,WSN,W5-1,CG,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.295,.373,.589,.962,3,.52,-0.001,.49,0.00%,-0.10,12.00,15.20,CF
26,771,29,May 2,CHC,@,WSN,L1-4,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.303,.377,.596,.973,4,1.23,0.127,1.22,0.08%,0.79,8.00,9.00,CF
27,772,30,May 3,CHC,@,WSN,L1-2,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.291,.364,.573,.937,4,1.85,-0.188,1.81,-0.11%,-1.40,0.00,0.00,CF
28,773,31,May 4,CHC,@,WSN,L3-4,CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.299,.369,.570,.939,5,1.23,-0.039,1.17,-0.02%,-0.02,13.00,15.20,CF
29,774,32,May 5,CHC,,MIA,W4-1,CG,4,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.297,.365,.568,.933,5,.53,-0.050,.49,-0.03%,-0.52,7.00,9.20,CF
30,775,33,May 6,CHC,,MIA,W4-2,CG,4,4,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,.296,.362,.565,.927,5,2.21,0.140,2.31,0.09%,0.38,14.00,18.40,CF
31,776,34,May 7,CHC,,MIA,L4-5,CG(14),6,5,1,2,1,0,0,1,1,1,1,0,0,0,0,0,2,0,.300,.368,.567,.934,4,1.81,0.281,1.87,0.18%,1.57,24.00,30.70,CF
32,777,35,May 8,CHC,,STL,L1-3,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.298,.364,.556,.921,4,1.54,-0.228,1.57,-0.14%,-1.71,3.00,3.00,CF
33,778,36,May 9,CHC,,STL,L4-6,CG,5,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,.291,.366,.543,.909,4,1.68,-0.033,1.57,-0.02%,-0.28,4.00,6.00,CF
34,779,37,May 10,CHC,,STL,W10-4,CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.288,.360,.530,.890,6,.21,-0.001,.18,0.00%,-0.81,3.00,3.00,CF
35,780,38,May 12,CHC,@,MIN,W6-2,CG,5,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.279,.348,.515,.863,4,.88,-0.118,.82,-0.07%,-1.06,2.00,3.50,CF
36,781,39,May 13,CHC,@,MIN,L1-11,CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.270,.338,.496,.834,4,.58,-0.078,.58,-0.05%,-1.66,0.00,0.00,CF
37,782,41 (1),May 15,CHC,@,HOU,L4-6,GS-8,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.271,.337,.493,.830,5,.67,-0.003,.58,0.00%,0.06,5.00,6.20,CF
38,783,68 (26),Jun 15,CHC,,PIT,W7-2,CG,4,3,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,.272,.341,.497,.838,6,1.13,0.086,.76,0.04%,1.05,11.00,15.70,1B
39,784,70 (1),Jun 17,CHC,,BAL,W3-2,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.267,.335,.487,.822,6,.70,-0.056,.48,-0.02%,-0.68,0.00,0.00,1B
